Date,Delhi,Kolkata,Mumbai,Chennai
April 19 2018,74.07,76.77,81.92,76.84
April 18 2018,74.02,76.73,81.87,76.79
April 17 2018,74.02,76.73,81.87,76.79
April 16 2018,74.02,76.73,81.87,76.79
April 15 2018,73.98,76.69,81.83,76.75
April 14 2018,73.93,76.64,81.79,76.69
April 13 2018,73.91,76.62,81.77,76.67
April 12 2018,73.94,76.65,81.80,76.71
April 11 2018,73.98,76.69,81.83,76.75
April 10 2018,73.98,76.69,81.83,76.75
April 09 2018,73.99,76.70,81.84,76.76
April 08 2018,74.03,76.73,81.88,76.80
April 07 2018,74.00,76.71,81.85,76.77
April 06 2018,73.98,76.69,81.83,76.75
April 05 2018,73.98,76.69,81.83,76.75
April 04 2018,73.95,76.66,81.80,76.72
April 03 2018,73.95,76.66,81.80,76.72
April 02 2018,73.83,76.54,81.69,76.59
April 01 2018,73.73,76.44,81.59,76.48
March 31 2018,73.55,76.26,81.41,76.29
March 30 2018,73.31,76.03,81.17,76.04
March 29 2018,73.08,75.80,80.94,75.80
March 28 2018,72.90,75.63,80.77,75.61
March 27 2018,72.90,75.63,80.77,75.61
March 26 2018,72.79,75.52,80.66,75.49
March 25 2018,72.55,75.28,80.42,75.24
March 24 2018,72.38,75.11,80.25,75.06
March 23 2018,72.30,75.04,80.17,74.98
March 22 2018,72.26,75.00,80.13,74.94
March 21 2018,72.20,74.94,80.07,74.87
March 20 2018,72.20,74.94,80.07,74.87
March 19 2018,72.19,74.93,80.06,74.86
March 18 2018,72.20,74.94,80.07,74.87
March 17 2018,72.27,75.01,80.14,74.95
March 16 2018,72.37,75.10,80.24,75.05
March 15 2018,72.45,75.18,80.32,75.14
March 14 2018,72.47,75.20,80.34,75.16
March 13 2018,72.47,75.20,80.34,75.16
March 12 2018,72.45,75.18,80.32,75.14
March 11 2018,72.48,75.21,80.35,75.17
March 10 2018,72.46,75.19,80.33,75.15
March 09 2018,72.43,75.16,80.30,75.12
March 08 2018,72.39,75.12,80.26,75.07
March 07 2018,72.39,75.12,80.26,75.07
March 06 2018,72.39,75.12,80.26,75.07
March 05 2018,72.32,75.06,80.19,75.00
